video_id,trending_date,channel_title,category_id,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,state,lat,lon,geometry,category
Y0eRSoQdtDk,2018-05-26,Girl Formula,24,260296,5370,684,714,FALSO,FALSO,Dadra And Nagar Haveli,20.26657819,73.01661779999999,POINT (73.01661780000001 20.26657819),Entertainment
bExC7rzOPHM,2018-05-26,Vijay Television,24,698979,5144,271,282,FALSO,FALSO,Delhi,28.6699929,77.23000403,POINT (77.23000403 28.6699929),Entertainment
JO2WC9zl9OE,2018-05-26,etvteluguindia,24,293398,940,352,175,FALSO,FALSO,Haryana,28.45000633,77.01999101,POINT (77.01999101 28.45000633),Entertainment
kPWp6nECYlE,2018-05-26,Manorama News,25,164120,719,56,286,FALSO,FALSO,Andaman And Nicobar,11.66702557,92.73598262,POINT (92.73598262 11.66702557),News & Politics
lzGILT8L_sA,2018-05-26,Mazhavil Manorama,24,197967,1444,369,235,FALSO,FALSO,Mizoram,23.71039899,92.72001461,POINT (92.72001461000001 23.71039899),Entertainment
c35eFM3ai6o,2018-05-26,Think Music India,10,261421,9777,139,260,FALSO,FALSO,Andaman And Nicobar,11.66702557,92.73598262,POINT (92.73598262 11.66702557),Music
oaBzIAMFtZM,2018-05-26,Vision Time Tamil,24,287235,1390,336,211,FALSO,FALSO,Tripura,23.83540428,91.27999914,POINT (91.27999914 23.83540428),Entertainment
IFtU96UXuDc,2018-05-26,SunTV Tamil,22,381754,1673,279,102,FALSO,FALSO,Assam,26.7499809,94.21666744,POINT (94.21666743999999 26.7499809),People & Blogs
xL2hIBjAcdM,2018-05-26,Ditto TV,24,128101,555,25,47,FALSO,FALSO,West Bengal,22.58039044,88.32994665,POINT (88.32994665 22.58039044),Entertainment
Dsvs0JUVKk8,2018-05-26,5-Minute Crafts,26,1062791,9731,1005,560,FALSO,FALSO,Uttar Pradesh,27.59998069,78.05000565,POINT (78.05000565 27.59998069),Howto & Style
M-ETpsszznE,2018-05-26,Tamil Talkies,24,108521,3692,230,492,FALSO,FALSO,Karnataka,12.57038129,76.91999711,POINT (76.91999711 12.57038129),Entertainment
Dzo_A2j64mY,2018-05-26,Gujarati Media News,25,135889,1157,292,150,FALSO,FALSO,Chhattisgarh,22.09042035,82.15998734,POINT (82.15998734 22.09042035),News & Politics
BKGmSfMSc4k,2018-05-26,Zee Tamil,24,116576,414,45,40,FALSO,FALSO,Chhattisgarh,22.09042035,82.15998734,POINT (82.15998734 22.09042035),Entertainment
_XOKBsOFiCY,2018-05-26,Dhaval Domadiya,24,411635,8300,367,336,FALSO,FALSO,Orissa,19.82042971,85.90001746,POINT (85.90001746 19.82042971),Entertainment
jK6UOvjMPp0,2018-05-26,Khajur Bhai Ni Moj,23,811772,11046,658,450,FALSO,FALSO,Madhya Pradesh,21.30039105,76.13001949,POINT (76.13001949 21.30039105),Comedy
SoNOKbDpYkE,2018-05-26,Bharatiya Digital Party,23,166763,4143,388,378,FALSO,FALSO,Andhra Pradesh,14.7504291,78.57002559,POINT (78.57002559 14.7504291),Comedy
zrUl5WgyquY,2018-05-26,Studio Sangeeta,10,326320,4657,479,276,FALSO,FALSO,Punjab,31.51997398,75.98000281,POINT (75.98000281 31.51997398),Music
wQvSdRVYv-8,2018-05-26,SET India,24,329519,4012,242,173,FALSO,FALSO,Lakshadweep,10.56257331,72.63686717,POINT (72.63686717 10.56257331),Entertainment
LSWZGgJ0K0Y,2018-05-26,Aditya Music,10,913778,12053,879,908,FALSO,FALSO,Puducherry,11.93499371,79.83000037,POINT (79.83000036999999 11.93499371),Music
AfskjeeYE14,2018-05-26,Tarang TV,24,155687,570,113,39,FALSO,FALSO,Madhya Pradesh,21.30039105,76.13001949,POINT (76.13001949 21.30039105),Entertainment
8IbBAZXJwm4,2018-05-26,Sony PAL,24,55674,167,25,3,FALSO,FALSO,Sikkim,27.3333303,88.6166475,POINT (88.6166475 27.3333303),Entertainment
XTVs8IP236k,2018-05-26,YOYO TV Channel,25,700610,1407,432,236,FALSO,FALSO,Manipur,24.79997072,93.95001705,POINT (93.95001705 24.79997072),News & Politics
7SbSEGqHC58,2018-05-26,Colors TV,24,245395,956,120,80,FALSO,FALSO,Rajasthan,26.44999921,74.63998124,POINT (74.63998124 26.44999921),Entertainment
gsc80ota4zM,2018-05-26,Gemini TV,24,85392,669,50,70,FALSO,FALSO,Tripura,23.83540428,91.27999914,POINT (91.27999914 23.83540428),Entertainment
M2jslfpCAtM,2018-05-26,Study IQ education,27,25258,2024,39,238,FALSO,FALSO,Assam,26.7499809,94.21666744,POINT (94.21666743999999 26.7499809),Education
66cMz5C6qJg,2018-05-26,News18 Kerala,25,174239,427,166,77,FALSO,FALSO,Punjab,31.51997398,75.98000281,POINT (75.98000281 31.51997398),News & Politics
